nodetype,vcpu,ecu,ram,day,subtime,ttime,apptype,externalfile,threading,loadinmem,parallel,filesize
2.1,1,1,2,1,12,102,2,1,1,1,0,3
2.1,1,1,2,1,12,102,2,1,1,1,0,3
2.1,1,1,2,1,12,100,2,1,1,1,0,3
2.1,1,1,2,1,12,103,2,1,1,1,0,3
2.1,1,1,2,1,13,102,2,1,1,1,0,3
2.1,1,1,2,1,13,103,2,1,1,1,0,3
2.1,1,1,2,1,13,102,2,1,1,1,0,3
2.1,1,1,2,1,13,102,2,1,1,1,0,3
2.1,1,1,2,1,13,101,2,1,1,1,0,3
2.1,1,1,2,1,14,101,2,1,1,1,0,3
2.1,1,1,2,1,14,100,2,1,1,1,0,3
2.1,1,1,2,1,14,102,2,1,1,1,0,3
2.1,1,1,2,1,14,102,2,1,1,1,0,3
2.1,1,1,2,1,14,102,2,1,1,1,0,3
2.1,1,1,2,1,15,103,2,1,1,1,0,3
2.1,1,1,2,1,15,101,2,1,1,1,0,3
2.1,1,1,2,1,15,101,2,1,1,1,0,3
2.1,1,1,2,1,15,104,2,1,1,1,0,3
2.1,1,1,2,1,15,102,2,1,1,1,0,3
2.1,1,1,2,1,16,101,2,1,1,1,0,3
2.1,1,1,2,1,16,103,2,1,1,1,0,3
2.1,1,1,2,1,16,102,2,1,1,1,0,3
2.1,1,1,2,1,16,101,2,1,1,1,0,3
2.1,1,1,2,1,16,103,2,1,1,1,0,3
2.1,1,1,2,1,17,104,2,1,1,1,0,3
2.1,1,1,2,1,17,105,2,1,1,1,0,3
2.1,1,1,2,1,17,104,2,1,1,1,0,3
2.1,1,1,2,1,17,103,2,1,1,1,0,3
2.1,1,1,2,1,17,102,2,1,1,1,0,3
2.1,1,1,2,1,18,104,2,1,1,1,0,3
2.1,1,1,2,1,18,102,2,1,1,1,0,3
2.1,1,1,2,1,18,100,2,1,1,1,0,3
2.1,1,1,2,1,18,99,2,1,1,1,0,3
2.1,1,1,2,1,18,100,2,1,1,1,0,3
2.1,1,1,2,1,19,101,2,1,1,1,0,3
2.1,1,1,2,1,19,101,2,1,1,1,0,3
2.1,1,1,2,1,19,100,2,1,1,1,0,3
2.1,1,1,2,1,19,100,2,1,1,1,0,3
2.1,1,1,2,1,19,104,2,1,1,1,0,3
2.1,1,1,2,1,20,101,2,1,1,1,0,3
2.1,1,1,2,1,20,102,2,1,1,1,0,3
2.1,1,1,2,1,20,103,2,1,1,1,0,3
2.1,1,1,2,1,20,102,2,1,1,1,0,3
2.1,1,1,2,1,20,101,2,1,1,1,0,3
2.1,1,1,2,1,21,100,2,1,1,1,0,3
2.1,1,1,2,1,21,101,2,1,1,1,0,3
2.1,1,1,2,1,21,100,2,1,1,1,0,3
2.1,1,1,2,1,21,102,2,1,1,1,0,3
2.1,1,1,2,1,21,101,2,1,1,1,0,3
2.1,1,1,2,1,21,101,2,1,1,1,0,3
2.1,1,1,2,1,22,101,2,1,1,1,0,3
2.1,1,1,2,1,22,101,2,1,1,1,0,3
2.1,1,1,2,1,22,101,2,1,1,1,0,3
2.1,1,1,2,1,22,100,2,1,1,1,0,3
2.1,1,1,2,1,22,99,2,1,1,1,0,3
2.1,1,1,2,1,23,102,2,1,1,1,0,3
2.1,1,1,2,1,23,100,2,1,1,1,0,3
2.1,1,1,2,1,23,99,2,1,1,1,0,3
2.1,1,1,2,1,23,100,2,1,1,1,0,3
2.1,1,1,2,1,23,99,2,1,1,1,0,3
2.1,1,1,2,2,0,100,2,1,1,1,0,3
2.1,1,1,2,2,0,101,2,1,1,1,0,3
2.1,1,1,2,2,0,100,2,1,1,1,0,3
2.1,1,1,2,2,0,99,2,1,1,1,0,3
2.1,1,1,2,2,0,100,2,1,1,1,0,3
2.1,1,1,2,2,1,99,2,1,1,1,0,3
2.1,1,1,2,2,1,100,2,1,1,1,0,3
2.1,1,1,2,2,1,101,2,1,1,1,0,3
2.1,1,1,2,2,1,100,2,1,1,1,0,3
